"","byronbay","coffsharbour","crowdyhead","sydney","portkembla","batemansbay","eden","year"
"1",5.1,6.2,NA,NA,5.6,NA,4.3,1984
"2",4.7,6.6,4.5,NA,5.1,NA,6.1,1985
"3",5,6.4,5.9,NA,6.8,6,5.4,1986
"4",5.5,4.9,5.9,6.8,6.1,4.7,4.2,1987
"5",6,6.4,6.5,5.6,6.1,4.8,5.9,1988
"6",5.9,7.4,5.8,5.1,4.9,4.9,6.7,1989
"7",5.7,5.5,6.7,7.2,6.7,6,6.4,1990
"8",5.6,5,5,4.4,4.6,5.1,5.6,1991
"9",5.2,5.8,5.2,4.7,5.2,4.7,5.4,1992
"10",5.5,4.3,4.8,4.8,4.5,4.7,5.3,1993
"11",4.9,4.9,5.3,5.7,6.2,4.9,6.7,1994
"12",5.8,6.2,7.4,5.8,6.6,5.2,4.8,1995
"13",5.4,5.2,5.8,6.1,7.4,7.2,6.8,1996
"14",6,5.6,6.3,8.4,8.4,4,5.9,1997
"15",5.2,5.7,4.6,5.7,5,4.5,6.4,1998
"16",5.7,6.8,6.8,6.2,5.1,6.6,5.2,1999
"17",5.2,4.7,4.7,6.1,5.8,5.3,5.9,2000
"18",5.1,5.2,6.3,7,6.3,5.4,5.9,2001
"19",5,5.7,6.3,6.2,5.2,4.7,7.1,2002
"20",5.9,5.7,4.8,5.7,5.4,4.4,4.8,2003
"21",4.6,6.5,5.3,6.7,6.2,4.7,6.1,2004
"22",3.3,6,6,6.6,6.1,6.6,6.3,2005
"23",NA,5,4.4,6.5,5.2,4.5,5.3,2006
"24",3.1,4.5,5,6.9,6.1,5.7,7.1,2007
"25",5.3,5.3,6.2,6.1,5.9,3.9,5.6,2008
"26",7.6,6.5,6.2,6.2,5.3,4.4,5,2009
"27",4.7,4,4.7,6.4,6.4,5.5,7.3,2010
"28",4.4,5.3,5.8,6.3,6.1,5.6,5.9,2011
"29",6,6.2,5.7,7.8,5.7,6,8.1,2012
"30",6.5,7,6.4,5.8,5.6,6.3,7.1,2013
"31",4.8,5.4,5.3,6.2,4.3,5.4,5.9,2014
"32",5.7,4.7,5.2,8.1,5.1,5.3,5.9,2015
"33",5.7,6.6,6.6,6.5,5.5,4.1,8.5,2016
"34",5.9,5.2,5,5.8,5.5,3.7,4.9,2017
"35",4.8,4.7,5.7,5.7,4.8,4.2,5.8,2018
"36",6.4,6.1,5,6.8,7.1,5.4,4.8,2019
"37",4.4,5.5,5.3,6.5,5.9,6.3,5.8,2020
"38",5.4,5.3,4.9,6.4,6.1,6,6.1,2021
"39",5,5.3,5.8,6,6,7,5.9,2022
"40",4.6,4.3,4.5,5.8,6.2,5.3,6.3,2023
"41",4.6,5.2,4.2,5.3,5.6,4.9,5.8,2024
"42",NA,NA,NA,NA,NA,NA,NA,2025
